text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,screenName,retweetCount
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",FALSE,0,NA,23-11-2016 18:16,FALSE,NA,8.0149E+17,NA,ikumarashok,9
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,FALSE,0,NA,23-11-2016 18:16,FALSE,NA,8.0149E+17,NA,ssmalani,637
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",FALSE,0,NA,23-11-2016 18:15,FALSE,NA,8.01489E+17,NA,cracklier,59
"People from rural areas are coming to Delhi just to withdraw cash. 

They have given up on govt. logistics. 

@ravishndtv #Demonetization",FALSE,0,NA,23-11-2016 18:15,FALSE,NA,8.01489E+17,NA,Rohit_V,0
RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM? It's clearly fishy and requires full disclosure &amp;…,FALSE,0,NA,23-11-2016 18:14,FALSE,NA,8.01489E+17,NA,TussarJitu,331
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",FALSE,0,NA,23-11-2016 18:14,FALSE,NA,8.01489E+17,NA,praveentiwari6,15
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",FALSE,0,NA,23-11-2016 18:12,FALSE,NA,8.01489E+17,NA,ankit_gupta518,9
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/vv9qtRqqSI,FALSE,0,NA,23-11-2016 18:12,FALSE,NA,8.01489E+17,NA,Priyad_01,0
"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",FALSE,0,NA,23-11-2016 18:12,FALSE,NA,8.01488E+17,NA,Bhartiyalist,112
RT @NilimDutta: After much contemplation I have come to the conclusion that nothing explains Modi's #DeMonetization better than monumental…,FALSE,0,NA,23-11-2016 18:12,FALSE,NA,8.01488E+17,NA,ChandokSumeet,2
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",FALSE,0,NA,23-11-2016 18:11,FALSE,NA,8.01488E+17,NA,ThumbaHasivu,95
"#demonetization 90 % of population is accepting it as country building measure, why these so called politicians opp… https://t.co/f91j6tZjZ2",FALSE,0,NA,23-11-2016 18:11,TRUE,NA,8.01488E+17,NA,sanjeevkriocl,0
